ENDO,MICRO,HAPI,negCTRL,posCTRL,dose_ug,fluorescence
TRUE,FALSE,TRUE,FALSE,FALSE,0,31915
TRUE,FALSE,TRUE,FALSE,FALSE,0,28593
TRUE,FALSE,TRUE,FALSE,FALSE,0,25769
TRUE,FALSE,TRUE,FALSE,FALSE,0,25241
TRUE,FALSE,TRUE,FALSE,FALSE,0,25430
TRUE,FALSE,TRUE,FALSE,FALSE,0,33510
TRUE,FALSE,TRUE,FALSE,FALSE,0,33489
TRUE,FALSE,TRUE,FALSE,FALSE,0,36075
TRUE,FALSE,TRUE,FALSE,FALSE,0,34542
TRUE,FALSE,TRUE,FALSE,FALSE,0,33377
TRUE,FALSE,TRUE,FALSE,FALSE,0,33184
TRUE,FALSE,TRUE,FALSE,FALSE,0,32558
TRUE,FALSE,TRUE,FALSE,FALSE,0,23606
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,42123
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,41505
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,36438
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,28386
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,26676
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,25043
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,21517
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,22307
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,60269
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,48124
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,39047
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,31915
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,28593
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,25769
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,25241
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,25430
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,33510
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,33489
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,36075
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,34542
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,33377
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,33184
TRUE,FALSE,TRUE,FALSE,FALSE,0.002,32558
