Group,LDH
MIXED.ENDO-HAPI 1,0.793
MIXED.ENDO-HAPI 1,0.66
MIXED.ENDO-HAPI 1,0.781
MIXED.ENDO-HAPI 1,0.527
MIXED.ENDO-HAPI 1,0.6
MIXED.ENDO-HAPI 1,0.6
MIXED.ENDO-HAPI 1,0.666
MIXED.ENDO-HAPI 1,0.678
MIXED.ENDO-HAPI 1,0.728
MIXED.ENDO-HAPI 1,0.784
MIXED.ENDO-HAPI 1,0.78
MIXED.ENDO-HAPI 1,0.578
MIXED.ENDO-HAPI 1,0.685
MIXED.ENDO-HAPI 1,0.61
MIXED.ENDO-HAPI 1,0.668
MIXED.ENDO-HAPI 1,0.65
MIXED.ENDO-HAPI 1,0.65
MIXED.ENDO-HAPI 1,0.74
MIXED.ENDO-HAPI 1,0.776
MIXED.ENDO-HAPI 1,0.618
MIXED.ENDO-HAPI 1,0.713
MIXED.ENDO-HAPI 1,0.69
MIXED.ENDO-HAPI 1,0.679
MIXED.ENDO-HAPI 1,0.705
MIXED.ENDO-HAPI 1,0.704
MIXED.ENDO-HAPI 1,0.644
MIXED.ENDO-HAPI 1,0.684
MIXED.ENDO-HAPI 20,0.689
MIXED.ENDO-HAPI 20,0.93
MIXED.ENDO-HAPI 20,1.013
MIXED.ENDO-HAPI 20,0.972
