Group,MTT
MIXED.ENDO-HAPI 0.002,0.418
MIXED.ENDO-HAPI 0.002,0.533
MIXED.ENDO-HAPI 0.002,0.428
MIXED.ENDO-HAPI 0.002,0.456
MIXED.ENDO-HAPI 0.002,0.439
MIXED.ENDO-HAPI 0.002,0.505
MIXED.ENDO-HAPI 0.002,0.516
MIXED.ENDO-HAPI 0.002,0.525
MIXED.ENDO-HAPI 0.002,0.485
MIXED.ENDO-HAPI 0.002,0.479
MIXED.ENDO-HAPI 0.002,0.479
MIXED.ENDO-HAPI 0.002,0.57
MIXED.ENDO-HAPI 0.002,0.473
MIXED.ENDO-HAPI 0.002,0.565
MIXED.ENDO-HAPI 0.002,0.462
MIXED.ENDO-HAPI 0.002,0.41
MIXED.ENDO-HAPI 0.002,0.578
MIXED.ENDO-HAPI 0.002,0.515
MIXED.ENDO-HAPI 0.002,0.527
MIXED.ENDO-HAPI 0.002,0.533
MIXED.ENDO-HAPI 0.002,0.429
MIXED.ENDO-HAPI 0.002,0.582
MIXED.ENDO-HAPI 1,0.481
MIXED.ENDO-HAPI 1,0.435
MIXED.ENDO-HAPI 1,0.423
MIXED.ENDO-HAPI 1,0.464
MIXED.ENDO-HAPI 1,0.491
MIXED.ENDO-HAPI 1,0.475
MIXED.ENDO-HAPI 1,0.435
MIXED.ENDO-HAPI 1,0.437
MIXED.ENDO-HAPI 1,0.523
MIXED.ENDO-HAPI 1,0.455
MIXED.ENDO-HAPI 1,0.45
MIXED.ENDO-HAPI 1,0.45
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.41
MIXED.ENDO-HAPI 1,0.401
MIXED.ENDO-HAPI 1,0.445
MIXED.ENDO-HAPI 1,0.576
MIXED.ENDO-HAPI 1,0.581
MIXED.ENDO-HAPI 1,0.576
MIXED.ENDO-HAPI 1,0.583
MIXED.ENDO-HAPI 1,0.573
MIXED.ENDO-HAPI 1,0.578
MIXED.ENDO-HAPI 1,0.548
MIXED.ENDO-HAPI 1,0.599
MIXED.ENDO-HAPI 1,0.462
MIXED.ENDO-HAPI 1,0.375
MIXED.ENDO-HAPI 1,0.366
MIXED.ENDO-HAPI 1,0.412
MIXED.ENDO-HAPI 1,0.45
MIXED.ENDO-HAPI 1,0.473
MIXED.ENDO-HAPI 1,0.512
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.533
MIXED.ENDO-HAPI 1,0.49
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.455
MIXED.ENDO-HAPI 1,0.467
MIXED.ENDO-HAPI 1,0.448
MIXED.ENDO-HAPI 1,0.471
MIXED.ENDO-HAPI 1,0.504
MIXED.ENDO-HAPI 1,0.65
MIXED.ENDO-HAPI 1,0.519
MIXED.ENDO-HAPI 1,0.522
MIXED.ENDO-HAPI 1,0.511
MIXED.ENDO-HAPI 1,0.478
MIXED.ENDO-HAPI 1,0.474
MIXED.ENDO-HAPI 1,0.456
MIXED.ENDO-HAPI 1,0.53
MIXED.ENDO-HAPI 20,0.396
MIXED.ENDO-HAPI 20,0.386
MIXED.ENDO-HAPI 20,0.352
MIXED.ENDO-HAPI 20,0.39
MIXED.ENDO-HAPI 20,0.415
MIXED.ENDO-HAPI 20,0.406
MIXED.ENDO-HAPI 20,0.396
MIXED.ENDO-HAPI 20,0.474
MIXED.ENDO-HAPI 20,0.416
MIXED.ENDO-HAPI 20,0.423
MIXED.ENDO-HAPI 20,0.431
MIXED.ENDO-HAPI 20,0.434
MIXED.ENDO-HAPI 20,0.442
MIXED.ENDO-HAPI 20,0.433
MIXED.ENDO-HAPI 20,0.414
MIXED.ENDO-HAPI 20,0.455
MIXED.ENDO-HAPI 20,0.45
MIXED.ENDO-HAPI 20,0.54
MIXED.ENDO-HAPI 20,0.511
MIXED.ENDO-HAPI 20,0.466
MIXED.ENDO-HAPI 20,0.498
MIXED.ENDO-HAPI 20,0.44
MIXED.ENDO-HAPI 20,0.42
MIXED.ENDO-HAPI 20,0.49
MIXED.ENDO-HAPI 20,0.364
MIXED.ENDO-HAPI 20,0.45
MIXED.ENDO-HAPI 20,0.416
MIXED.ENDO-HAPI 20,0.44
MIXED.ENDO-HAPI 20,0.45
MIXED.ENDO-HAPI 20,0.423
